,Pred_spent,Pred_prob,customer_id,recency,fequency,price_sum,price_mean,spent_90_days,spent_90_flag
95,144.48682,0.68653995,96,-23.0,17,1341.18,78.89294117647059,104.81,1.0
96,17.836084,0.4210038,97,-4.0,4,324.75,81.1875,0.0,0.0
97,3.189888,0.24232993,98,-313.0,2,76.46000000000001,38.230000000000004,0.0,0.0
98,14.790295,0.45064825,99,-106.0,7,267.25,38.17857142857143,0.0,0.0
99,3.5965366,0.26644987,100,-111.0,2,26.259999999999998,13.129999999999999,28.98,1.0
100,0.801216,0.20044775,101,-438.0,1,23.54,23.54,0.0,0.0
101,11.477161,0.4210038,102,-31.0,4,157.47,39.3675,0.0,0.0
102,2.1684048,0.23947372,103,-360.0,2,80.83,40.415,29.66,1.0
103,0.76148176,0.20044775,104,-455.0,1,14.96,14.96,0.0,0.0
104,0.801216,0.20044775,105,-455.0,1,35.31,35.31,0.0,0.0
105,15.5117655,0.52454656,106,-60.0,6,202.1,33.68333333333333,0.0,0.0
106,0.801216,0.20044775,107,-455.0,1,21.99,21.99,0.0,0.0
107,0.76148176,0.20044775,108,-455.0,1,17.96,17.96,0.0,0.0
108,1.694371,0.22053032,109,-423.0,2,204.45999999999998,102.22999999999999,0.0,0.0
109,0.801216,0.20044775,110,-455.0,1,27.94,27.94,0.0,0.0
110,86.634094,0.65592176,111,-34.0,14,978.5799999999999,69.89857142857143,128.45999999999998,1.0
111,0.8890365,0.22514328,112,-420.0,2,23.54,11.77,0.0,0.0
112,5.986651,0.39177686,113,-25.0,3,59.669999999999995,19.889999999999997,0.0,0.0
113,8.341755,0.39713356,114,-49.0,5,124.92999999999999,24.985999999999997,0.0,0.0
114,0.76148176,0.20044775,115,-455.0,1,13.97,13.97,0.0,0.0
115,0.76148176,0.20044775,116,-455.0,1,12.77,12.77,0.0,0.0
116,5.986651,0.39177686,117,-13.0,3,58.97,19.656666666666666,0.0,0.0
117,3.878291,0.2837869,118,-281.0,2,73.85,36.925,0.0,0.0
118,0.84974086,0.20044775,119,-455.0,1,41.69,41.69,0.0,0.0
119,7.8868017,0.35091507,120,-104.0,5,103.50999999999999,20.701999999999998,0.0,0.0
120,0.76148176,0.20044775,121,-455.0,1,12.49,12.49,0.0,0.0
121,0.801216,0.20044775,122,-455.0,1,27.74,27.74,0.0,0.0
122,0.801216,0.20044775,123,-455.0,1,31.99,31.99,0.0,0.0
123,8.92676,0.34045762,124,-110.0,5,138.35,27.669999999999998,0.0,0.0
124,7.4667864,0.42233837,125,-51.0,5,82.16,16.432,26.48,1.0
125,11.428645,0.27332744,126,-120.0,2,302.75,151.375,0.0,0.0
126,0.84974086,0.20044775,127,-455.0,1,39.71,39.71,0.0,0.0
127,4.06362,0.29824603,128,-241.0,4,67.86,16.965,0.0,0.0
128,0.76148176,0.20044775,129,-455.0,1,12.49,12.49,0.0,0.0
129,7.707691,0.5104636,130,-144.0,7,107.96000000000001,15.422857142857143,12.99,1.0
130,0.801216,0.20044775,131,-455.0,1,30.32,30.32,0.0,0.0
131,8.292282,0.3226476,132,-177.0,5,260.87,52.174,41.56,1.0
132,9.317309,0.44038182,133,-141.0,7,199.17,28.45285714285714,0.0,0.0
133,4.8936257,0.3137047,134,-83.0,3,49.379999999999995,16.459999999999997,0.0,0.0
134,1.7241197,0.23934807,135,-455.0,2,84.39,42.195,0.0,0.0
135,6.74743,0.32424405,136,-126.0,2,81.96,40.98,0.0,0.0
136,0.801216,0.20044775,137,-455.0,1,27.73,27.73,0.0,0.0
137,0.76148176,0.20044775,138,-455.0,1,14.99,14.99,0.0,0.0
138,0.76148176,0.20044775,139,-450.0,1,11.77,11.77,0.0,0.0
139,2.2081506,0.24156284,140,-333.0,2,44.06,22.03,0.0,0.0
140,12.523569,0.51148516,141,-38.0,6,123.99000000000001,20.665000000000003,23.76,1.0
141,7.8328824,0.41106838,142,-41.0,4,97.89999999999999,24.474999999999998,24.49,1.0
142,0.89823455,0.23934807,143,-455.0,2,41.48,20.74,0.0,0.0
143,0.801216,0.20044775,144,-455.0,1,30.72,30.72,0.0,0.0
144,40.572643,0.6855218,145,-18.0,21,477.11,22.71952380952381,44.85,1.0
145,0.76148176,0.20044775,146,-455.0,1,13.97,13.97,0.0,0.0
146,15.45998,0.4399592,147,-109.0,8,288.07,36.00875,0.0,0.0
147,13.635169,0.54072547,148,-11.0,7,146.44,20.919999999999998,0.0,0.0
148,1.7241197,0.21003091,149,-432.0,2,106.53999999999999,53.269999999999996,0.0,0.0
149,0.76148176,0.20044775,150,-455.0,1,15.36,15.36,0.0,0.0
150,0.76148176,0.20044775,151,-455.0,1,13.97,13.97,0.0,0.0
151,17.253265,0.49387556,152,-73.0,6,243.96,40.660000000000004,0.0,0.0
152,0.76148176,0.20044775,153,-455.0,1,6.79,6.79,0.0,0.0
153,4.8084826,0.31536257,154,-146.0,4,57.31,14.3275,11.88,1.0
154,0.801216,0.20044775,155,-455.0,1,23.99,23.99,0.0,0.0
155,0.76148176,0.20044775,156,-455.0,1,10.77,10.77,0.0,0.0
156,2.1081035,0.22323294,157,-399.0,2,80.21000000000001,40.105000000000004,0.0,0.0
157,0.84974086,0.20044775,158,-455.0,1,43.05,43.05,0.0,0.0
158,0.76148176,0.20044775,159,-455.0,1,19.75,19.75,0.0,0.0
159,0.76148176,0.20044775,160,-455.0,1,19.74,19.74,0.0,0.0
160,36.002003,0.6592103,161,-15.0,10,379.93,37.993,36.98,1.0
161,1.4619734,0.20044775,162,-455.0,1,119.54,119.54,0.0,0.0
162,0.801216,0.20044775,163,-455.0,1,25.74,25.74,0.0,0.0
163,13.228821,0.45181516,164,-106.0,7,221.13,31.59,24.46,1.0
164,4.6743884,0.31157222,165,-21.0,2,25.76,12.88,8.99,1.0
165,13.853449,0.54072547,166,-14.0,7,161.3,23.042857142857144,11.88,1.0
166,13.228821,0.43908426,167,-112.0,8,186.46,23.3075,0.0,0.0
167,0.76148176,0.20044775,168,-455.0,1,14.96,14.96,0.0,0.0
168,0.76148176,0.20044775,169,-455.0,1,11.77,11.77,0.0,0.0
169,3.967414,0.2702624,170,-64.0,2,74.39,37.195,0.0,0.0
170,0.76148176,0.20044775,171,-455.0,1,14.96,14.96,0.0,0.0
171,0.84974086,0.20044775,172,-455.0,1,50.95,50.95,0.0,0.0
172,0.76148176,0.20044775,173,-455.0,1,18.36,18.36,31.47,1.0
173,0.8497097,0.21003091,174,-450.0,2,36.730000000000004,18.365000000000002,0.0,0.0
174,0.801216,0.20044775,175,-455.0,1,27.77,27.77,0.0,0.0
175,0.76148176,0.20044775,176,-455.0,1,11.77,11.77,0.0,0.0
176,31.624346,0.65275437,177,-56.0,31,555.09,17.906129032258065,14.99,1.0
177,0.76148176,0.20044775,178,-455.0,1,12.49,12.49,0.0,0.0
178,14.715812,0.52414197,179,-36.0,11,174.03,15.82090909090909,0.0,0.0
179,3.3610263,0.29027915,180,-216.0,2,62.59,31.295,0.0,0.0
180,0.84974086,0.20044775,181,-455.0,1,43.7,43.7,0.0,0.0
181,7.5076356,0.3303076,182,-107.0,3,81.72999999999999,27.24333333333333,9.99,1.0
182,0.76148176,0.20044775,183,-455.0,1,9.99,9.99,0.0,0.0
183,0.801216,0.20044775,184,-455.0,1,19.99,19.99,11.88,1.0
184,7.7933717,0.407505,185,-5.0,4,87.21000000000001,21.802500000000002,27.98,1.0
185,3.1787066,0.2622037,186,-196.0,2,34.45,17.225,0.0,0.0
186,0.8497097,0.21868135,187,-423.0,2,36.11,18.055,0.0,0.0
187,0.76148176,0.20044775,188,-455.0,1,13.77,13.77,0.0,0.0
188,1.4322248,0.20044775,189,-455.0,1,294.03,294.03,0.0,0.0
189,0.76148176,0.20044775,190,-455.0,1,15.36,15.36,0.0,0.0
190,1.4619734,0.20044775,191,-451.0,1,70.23,70.23,0.0,0.0
191,6.4153357,0.33832437,192,-243.0,6,160.23000000000002,26.705000000000002,0.0,0.0
192,0.801216,0.20044775,193,-455.0,1,27.94,27.94,0.0,0.0
193,1.694371,0.21003091,194,-445.0,2,255.77999999999997,127.88999999999999,0.0,0.0
194,11.975123,0.52538115,195,-71.0,7,113.78999999999999,16.255714285714284,0.0,0.0
195,0.801216,0.20044775,196,-455.0,1,25.54,25.54,0.0,0.0
196,2.3814304,0.24156284,197,-331.0,3,53.97,17.99,0.0,0.0
197,0.76148176,0.20044775,198,-455.0,1,15.76,15.76,0.0,0.0
198,0.76148176,0.20044775,199,-455.0,1,14.37,14.37,0.0,0.0
199,1.7241197,0.21003091,200,-434.0,2,84.28999999999999,42.144999999999996,0.0,0.0
200,4.8936257,0.32943544,201,-80.0,4,48.31,12.0775,24.99,1.0
201,1.7241197,0.23934807,202,-454.0,2,146.46,73.23,0.0,0.0
202,3.7514231,0.27610618,203,-251.0,4,63.83,15.9575,0.0,0.0
203,1.4619734,0.20044775,204,-441.0,1,72.23,72.23,0.0,0.0
204,7.5947413,0.34045762,205,-115.0,4,102.07,25.5175,0.0,0.0
205,0.76148176,0.20044775,206,-455.0,1,17.99,17.99,0.0,0.0
206,7.5947413,0.3440985,207,-136.0,3,94.25999999999999,31.419999999999998,0.0,0.0
207,10.0120735,0.2855934,208,-39.0,2,133.63,66.815,0.0,0.0
208,2.1805468,0.22444427,209,-382.0,3,116.17,38.723333333333336,0.0,0.0
209,6.9305024,0.30822608,210,-6.0,2,86.03,43.015,0.0,0.0
210,0.76148176,0.20044775,211,-455.0,1,7.78,7.78,0.0,0.0
211,0.76148176,0.20044775,212,-455.0,1,14.37,14.37,0.0,0.0
212,0.8497097,0.21144857,213,-437.0,2,22.54,11.27,0.0,0.0
213,7.326131,0.35242012,214,-162.0,7,222.21999999999997,31.745714285714282,0.0,0.0
214,0.76148176,0.20044775,215,-455.0,1,11.77,11.77,0.0,0.0
215,0.76148176,0.20044775,216,-455.0,1,13.97,13.97,0.0,0.0
216,12.277244,0.3440985,217,-62.0,3,184.04,61.346666666666664,11.88,1.0
217,1.4619734,0.20044775,218,-419.0,1,57.48,57.48,0.0,0.0
218,3.189888,0.24232993,219,-319.0,2,74.02,37.01,0.0,0.0
219,1.4619734,0.20044775,220,-455.0,1,57.85,57.85,0.0,0.0
220,0.76148176,0.20044775,221,-455.0,1,12.49,12.49,0.0,0.0
221,8.73253,0.34692577,222,-153.0,3,86.33,28.776666666666667,0.0,0.0
222,0.84974086,0.20044775,223,-455.0,1,47.93,47.93,0.0,0.0
223,0.801216,0.20044775,224,-455.0,1,28.33,28.33,0.0,0.0
224,5.271583,0.3022574,225,-243.0,5,105.61,21.122,0.0,0.0
225,10.021398,0.43691295,226,-45.0,5,126.65,25.330000000000002,43.47,1.0
226,7.6340523,0.33410043,227,-220.0,5,164.58,32.916000000000004,0.0,0.0
227,17.518354,0.5529798,228,-85.0,13,339.79,26.13769230769231,0.0,0.0
228,6.1917176,0.43836406,229,-20.0,4,64.0,16.0,19.49,1.0
229,3.6003127,0.27826044,230,-299.0,2,79.96,39.98,0.0,0.0
230,1.4619734,0.20044775,231,-455.0,1,69.04,69.04,0.0,0.0
231,0.84974086,0.20044775,232,-455.0,1,42.98,42.98,0.0,0.0
232,0.76148176,0.20044775,233,-455.0,1,12.99,12.99,0.0,0.0
233,0.8497097,0.22514328,234,-421.0,2,23.96,11.98,0.0,0.0
234,0.76148176,0.20044775,235,-455.0,1,7.98,7.98,0.0,0.0
235,0.76148176,0.20044775,236,-455.0,1,16.7,16.7,0.0,0.0
236,0.801216,0.20044775,237,-455.0,1,23.54,23.54,0.0,0.0
237,8.157706,0.31456017,238,-248.0,5,305.19,61.038,0.0,0.0
238,0.801216,0.20044775,239,-455.0,1,28.74,28.74,0.0,0.0
239,0.92461026,0.21698706,240,-389.0,2,30.950000000000003,15.475000000000001,0.0,0.0
240,6.1917176,0.40152174,241,-6.0,3,76.07,25.356666666666666,24.48,1.0
241,1.7241197,0.21003091,242,-439.0,2,65.43,32.715,0.0,0.0
242,0.76148176,0.20044775,243,-454.0,1,17.96,17.96,0.0,0.0
243,83.84663,0.7820973,244,-3.0,20,1185.85,59.2925,101.56,1.0
244,11.975123,0.51216066,245,-70.0,6,134.76,22.459999999999997,13.99,1.0
245,62.13327,0.7553679,246,-6.0,19,699.33,36.80684210526316,50.85,1.0
246,4.8891506,0.33592275,247,-106.0,3,63.17,21.05666666666667,30.98,1.0
247,0.76148176,0.20044775,248,-454.0,1,14.37,14.37,0.0,0.0
248,2.1805468,0.22323294,249,-406.0,3,92.28,30.76,0.0,0.0
249,5.7942266,0.3257652,250,-221.0,3,104.57,34.85666666666666,0.0,0.0
250,0.84974086,0.20044775,251,-454.0,1,40.26,40.26,0.0,0.0
251,17.836084,0.4210038,252,-10.0,4,312.5,78.125,35.76,1.0
252,0.76148176,0.20044775,253,-454.0,1,13.97,13.97,0.0,0.0
253,0.76148176,0.20044775,254,-454.0,1,15.96,15.96,0.0,0.0
254,0.76148176,0.20044775,255,-454.0,1,11.77,11.77,0.0,0.0
255,2.1993222,0.23947372,256,-352.0,3,79.58,26.526666666666667,0.0,0.0
256,3.5965366,0.2792152,257,-153.0,2,40.76,20.38,14.99,1.0
257,1.4619734,0.20044775,258,-454.0,1,59.97,59.97,0.0,0.0
258,0.76148176,0.20044775,259,-454.0,1,14.79,14.79,0.0,0.0
259,1.4619734,0.20044775,260,-451.0,1,57.27,57.27,0.0,0.0
260,0.76148176,0.20044775,261,-454.0,1,8.77,8.77,0.0,0.0
261,0.84974086,0.20044775,262,-454.0,1,48.95,48.95,0.0,0.0
262,0.76148176,0.20044775,263,-454.0,1,14.79,14.79,0.0,0.0
263,0.76148176,0.20044775,264,-454.0,1,16.99,16.99,0.0,0.0
264,2.1805468,0.22323294,265,-405.0,3,135.6,45.199999999999996,0.0,0.0
265,1.7241197,0.21003091,266,-429.0,2,99.28,49.64,0.0,0.0
266,0.801216,0.20044775,267,-454.0,1,37.47,37.47,0.0,0.0
267,0.82514656,0.20449017,268,-373.0,1,7.78,7.78,0.0,0.0
268,0.801216,0.20044775,269,-410.0,1,29.99,29.99,0.0,0.0
269,1.694371,0.21003091,270,-432.0,2,269.17,134.585,0.0,0.0
270,0.76148176,0.20044775,271,-454.0,1,12.77,12.77,0.0,0.0
271,1.0455781,0.21640766,272,-361.0,3,38.71,12.903333333333334,0.0,0.0
272,0.92461026,0.26889253,273,-372.0,2,21.75,10.875,0.0,0.0
273,0.76148176,0.20044775,274,-454.0,1,5.78,5.78,0.0,0.0
274,1.4619734,0.20044775,275,-454.0,1,60.47,60.47,0.0,0.0
275,5.7942266,0.3257652,276,-267.0,3,104.36000000000001,34.78666666666667,13.99,1.0
276,4.6743884,0.31157222,277,-23.0,2,31.89,15.945,0.0,0.0
277,0.801216,0.20044775,278,-454.0,1,23.97,23.97,0.0,0.0
278,7.4993515,0.33068252,279,-230.0,3,139.81,46.60333333333333,0.0,0.0
279,4.3945384,0.23782966,280,-338.0,3,256.45,85.48333333333333,0.0,0.0
280,0.76148176,0.20044775,281,-454.0,1,14.7,14.7,0.0,0.0
281,1.448303,0.20044775,282,-454.0,1,53.88,53.88,0.0,0.0
282,0.84974086,0.20044775,283,-454.0,1,37.71,37.71,0.0,0.0
283,0.801216,0.20044775,284,-454.0,1,20.0,20.0,0.0,0.0
284,0.801216,0.20044775,285,-454.0,1,25.99,25.99,0.0,0.0
285,1.7241197,0.21003091,286,-443.0,2,87.27,43.635,0.0,0.0
286,0.76148176,0.20044775,287,-454.0,1,13.97,13.97,0.0,0.0
287,2.1522746,0.2610479,288,-334.0,2,28.93,14.465,0.0,0.0
288,0.8890365,0.22684014,289,-417.0,2,20.54,10.27,0.0,0.0
289,0.84974086,0.20044775,290,-454.0,1,49.98,49.98,0.0,0.0
290,1.4322248,0.20044775,291,-454.0,1,199.15,199.15,0.0,0.0
291,5.1793613,0.38779178,292,-84.0,4,65.88,16.47,0.0,0.0
292,11.652713,0.27167222,293,-12.0,2,173.78,86.89,0.0,0.0
293,3.5965366,0.28725228,294,-131.0,2,27.36,13.68,0.0,0.0
294,18.011227,0.4210038,295,-5.0,4,386.58000000000004,96.64500000000001,0.0,0.0
295,0.801216,0.20044775,296,-454.0,1,25.53,25.53,0.0,0.0
296,0.76148176,0.20044775,297,-454.0,1,14.96,14.96,0.0,0.0
297,1.4619734,0.20044775,298,-454.0,1,68.04,68.04,0.0,0.0
298,3.5965366,0.27700686,299,-146.0,2,22.759999999999998,11.379999999999999,0.0,0.0
299,34.250507,0.7121769,300,-8.0,17,412.53,24.266470588235293,125.89999999999999,1.0
300,8.9082155,0.35918304,301,-141.0,4,173.38,43.345,0.0,0.0
301,0.801216,0.20044775,302,-454.0,1,27.13,27.13,0.0,0.0
302,0.76148176,0.20044775,303,-454.0,1,10.77,10.77,0.0,0.0
303,3.9857187,0.26174888,304,-309.0,5,113.34,22.668,0.0,0.0
304,8.969752,0.2872374,305,-147.0,2,152.26999999999998,76.13499999999999,0.0,0.0
305,0.801216,0.20044775,306,-454.0,1,30.99,30.99,0.0,0.0
306,0.8648808,0.20449017,307,-398.0,1,28.45,28.45,0.0,0.0
307,0.76148176,0.20044775,308,-454.0,1,12.77,12.77,0.0,0.0
308,1.6660974,0.20773882,309,-381.0,1,52.5,52.5,0.0,0.0
309,0.84974086,0.20044775,310,-449.0,1,39.32,39.32,0.0,0.0
310,1.4619734,0.20044775,311,-454.0,1,69.25,69.25,0.0,0.0
311,9.557174,0.2911152,312,-101.0,2,102.72999999999999,51.364999999999995,0.0,0.0
312,162.68977,0.7651155,313,-2.0,17,2292.5,134.85294117647058,139.79,1.0
313,1.9156535,0.21003091,314,-443.0,3,231.13,77.04333333333334,0.0,0.0
314,2.1668208,0.22444427,315,-382.0,3,88.86,29.62,0.0,0.0
315,4.06362,0.2824407,316,-244.0,4,72.22999999999999,18.057499999999997,0.0,0.0
316,12.277244,0.39713356,317,-54.0,5,231.15,46.230000000000004,0.0,0.0
317,5.1793613,0.34853503,318,-79.0,3,64.49,21.496666666666666,0.0,0.0
318,0.89823455,0.21003091,319,-449.0,2,41.69,20.845,0.0,0.0
319,0.76148176,0.20044775,320,-454.0,1,9.99,9.99,0.0,0.0
320,1.4619734,0.20044775,321,-454.0,1,103.05,103.05,0.0,0.0
321,3.3610263,0.2849971,322,-270.0,2,52.33,26.165,0.0,0.0
322,36.24671,0.54072547,323,-29.0,7,264.34,37.762857142857136,148.41,1.0
323,3.2830076,0.27455127,324,-186.0,2,59.01,29.505,0.0,0.0
324,1.4619734,0.20044775,325,-454.0,1,72.82,72.82,0.0,0.0
325,0.76148176,0.20044775,326,-454.0,1,14.37,14.37,0.0,0.0
326,0.84974086,0.20044775,327,-454.0,1,40.7,40.7,0.0,0.0
327,41.87579,0.7402795,328,0.0,14,471.88,33.705714285714286,220.74,1.0
328,7.8804774,0.407505,329,-33.0,5,93.97,18.794,0.0,0.0
329,0.76148176,0.20044775,330,-454.0,1,14.96,14.96,0.0,0.0
330,0.76148176,0.20044775,331,-454.0,1,16.36,16.36,0.0,0.0
331,0.76148176,0.20044775,332,-454.0,1,15.36,15.36,0.0,0.0
332,0.76148176,0.20044775,333,-454.0,1,15.9,15.9,0.0,0.0
333,0.84974086,0.20044775,334,-454.0,1,40.11,40.11,0.0,0.0
334,0.8497097,0.21144857,335,-450.0,2,26.73,13.365,0.0,0.0
335,0.76148176,0.20044775,336,-454.0,1,11.77,11.77,0.0,0.0
336,0.801216,0.20044775,337,-435.0,1,23.54,23.54,14.49,1.0
337,0.801216,0.20044775,338,-454.0,1,25.74,25.74,0.0,0.0
338,13.975103,0.35444796,339,-131.0,5,411.84,82.368,0.0,0.0
339,0.84974086,0.20044775,340,-454.0,1,46.3,46.3,0.0,0.0
340,6.608723,0.29597205,341,-248.0,2,106.6,53.3,0.0,0.0
341,0.76148176,0.20044775,342,-454.0,1,17.9,17.9,0.0,0.0
342,11.666068,0.35078347,343,-150.0,4,177.43,44.3575,0.0,0.0
343,56.84164,0.65592176,344,-27.0,16,548.14,34.25875,31.98,1.0
344,8.970593,0.2872374,345,-152.0,2,90.25,45.125,0.0,0.0
345,0.801216,0.20044775,346,-454.0,1,26.76,26.76,0.0,0.0
